user_id,event_type,video_id,timestamp,device_id,geo_location,comment_length,spam_flag,upload_rate,reports,abuse_score,is_abusive
685,like,7524,2024-01-26 18:08:00,1831,US,0,0,1,3,2,0
354,upload,42461,2024-05-06 22:08:00,1560,IN,0,0,2,4,2,0
1890,comment,70586,2024-04-23 23:22:00,1805,NG,62,0,0,0,0,0
1636,comment,49532,2024-05-30 21:46:00,1575,NG,1,1,1,0,3,1
1504,comment,1432,2024-02-03 13:38:00,1234,CA,54,0,2,0,0,0
1689,report,21664,2024-01-21 05:34:00,1293,MX,0,0,1,0,1,0
460,like,14134,2024-03-16 09:31:00,1031,IN,0,0,0,0,1,0
2360,comment,10656,2024-03-04 05:42:00,1989,CA,59,0,1,0,0,0
2293,comment,14102,2024-03-13 06:38:00,1382,CA,54,0,1,0,0,0
1929,comment,66749,2024-03-21 06:55:00,1801,US,54,0,3,0,0,0
2322,comment,66988,2024-01-10 08:23:00,1035,MX,50,0,0,0,0,0
1899,upload,67326,2024-04-04 03:39:00,1242,BR,0,0,0,0,1,0
2886,comment,20403,2024-03-17 16:40:00,1251,DE,47,0,1,2,1,0
1287,comment,13340,2024-03-25 15:25:00,1958,IN,45,0,0,0,0,0
718,like,8440,2024-02-02 07:10:00,3368,US,0,0,1,0,1,0
1478,comment,20755,2024-05-27 18:29:00,1530,US,56,0,1,0,0,0
827,comment,28738,2024-02-01 13:44:00,1960,DE,58,0,2,0,0,0
2516,comment,10322,2024-06-20 23:28:00,1909,NG,62,0,2,3,1,0
1667,like,52659,2024-06-05 19:12:00,1705,CA,0,0,0,1,2,0
1586,comment,73329,2024-03-14 08:51:00,1381,CA,70,0,1,0,0,0
1673,comment,8948,2024-01-25 03:18:00,1495,BR,49,0,1,0,0,0
1988,like,18136,2024-03-04 12:44:00,1465,NG,0,0,1,0,1,0
802,comment,43021,2024-05-11 16:12:00,1737,BR,56,0,1,0,0,0
861,like,15922,2024-06-06 13:01:00,1145,US,0,0,3,0,1,0
2145,comment,75250,2024-02-28 19:58:00,1361,UK,60,0,2,0,0,0
560,report,34418,2024-07-18 12:56:00,1634,BR,0,0,0,0,1,0
2638,comment,29495,2024-02-21 18:24:00,1560,IN,62,0,0,0,0,0
2873,comment,30945,2024-05-05 14:57:00,1529,IN,65,0,1,0,0,0
1335,comment,47316,2024-01-23 13:39:00,1728,MX,55,0,1,0,0,0
276,comment,22886,2024-01-18 21:26:00,1933,US,73,0,0,0,0,0
432,comment,24311,2024-02-21 15:12:00,1070,UK,9,1,1,0,3,1
426,comment,2011,2024-06-16 00:41:00,1976,CA,70,0,0,0,0,0
32,like,48849,2024-01-14 11:11:00,1450,IN,0,0,0,0,1,0
764,comment,65874,2024-06-28 21:00:00,1924,ID,42,0,0,0,0,0
1457,like,3393,2024-06-02 10:21:00,1014,US,0,0,0,0,1,0
410,comment,27788,2024-06-21 19:31:00,1055,UA,48,0,2,0,0,0
1593,comment,34457,2024-07-16 11:33:00,1621,US,60,0,1,0,0,0
1807,comment,37093,2024-04-23 17:26:00,1436,US,68,0,3,0,0,0
2915,comment,70655,2024-07-10 23:29:00,1780,US,59,0,1,0,0,0
725,report,50898,2024-02-26 17:15:00,1410,US,0,0,0,0,1,0
2278,comment,38415,2024-03-29 18:28:00,1132,BR,56,0,0,0,0,0
1618,like,696,2024-03-23 21:57:00,1152,ID,0,0,0,0,1,0
2501,report,64795,2024-07-06 22:43:00,1551,US,0,0,1,0,1,0
1326,comment,4776,2024-02-08 06:55:00,1280,US,51,0,1,0,0,0
1366,comment,66005,2024-06-01 00:50:00,1053,MX,63,0,2,0,0,0
1896,comment,13812,2024-05-12 08:21:00,1848,US,56,0,1,0,0,0
1346,comment,75995,2024-01-25 03:22:00,1793,IN,49,0,0,0,0,0
2194,comment,30608,2024-03-11 06:22:00,1504,NG,6,1,2,0,3,1
978,comment,75539,2024-05-19 04:54:00,1480,US,51,0,1,0,0,0
1803,comment,10261,2024-04-13 10:11:00,1416,IN,57,0,0,0,0,0
90,comment,51258,2024-01-19 14:55:00,1070,ID,50,0,0,2,1,0
1477,comment,16499,2024-04-21 13:21:00,1398,US,45,0,2,0,0,0
1095,comment,10144,2024-01-10 13:04:00,1135,US,71,0,1,0,0,0
2826,like,76392,2024-05-10 02:19:00,1845,US,0,0,0,0,1,0
552,comment,57109,2024-07-04 04:06:00,1980,IN,58,0,0,0,0,0
10,upload,59420,2024-05-14 12:47:00,1648,US,0,0,5,0,1,0
95,like,60650,2024-02-08 11:46:00,1019,IN,0,0,2,0,1,0
674,upload,54551,2024-04-26 09:19:00,1378,NG,0,0,0,0,1,0
715,comment,26405,2024-03-18 07:34:00,1341,US,62,0,2,0,0,0
1037,like,55466,2024-07-05 00:42:00,1569,BR,0,0,0,0,1,0
1884,like,22804,2024-02-14 19:05:00,1041,PH,0,0,4,0,1,0
1976,report,35628,2024-06-02 14:42:00,1891,PH,0,0,2,0,1,0
2705,comment,8200,2024-03-07 22:25:00,1626,US,59,0,0,0,0,0
2219,comment,8479,2024-04-19 10:53:00,1125,ID,52,0,2,0,0,0
2827,comment,20634,2024-06-09 21:18:00,1455,ID,60,0,0,0,0,0
1113,like,71154,2024-05-19 04:31:00,1163,US,0,0,1,0,1,0
38,like,6433,2024-02-16 18:35:00,1201,MX,0,0,1,0,1,0
2926,upload,66938,2024-04-07 17:15:00,1371,ID,0,0,2,0,1,0
1084,comment,42660,2024-07-03 15:15:00,1462,MX,47,0,0,0,0,0
1063,upload,35578,2024-03-31 04:43:00,1025,CA,0,0,0,0,1,0
2308,like,16800,2024-06-16 06:40:00,1061,US,0,0,2,0,1,0
414,report,7644,2024-06-08 02:09:00,1912,US,0,0,0,0,1,0
1305,comment,25344,2024-04-24 00:55:00,1045,IN,58,0,0,0,0,0
274,like,61551,2024-01-03 07:13:00,1346,BR,0,0,0,0,1,0
2112,like,63279,2024-04-06 21:17:00,1809,MX,0,0,2,0,1,0
2882,upload,13601,2024-06-08 00:43:00,1478,DE,0,0,1,0,1,0
88,comment,64965,2024-07-09 06:13:00,1986,IN,58,0,1,0,0,0
1709,like,3628,2024-05-20 00:01:00,1085,MX,0,0,0,0,1,0
403,like,34981,2024-07-01 19:32:00,1547,US,0,0,0,0,1,0
1566,comment,49822,2024-05-11 09:41:00,1656,DE,63,0,3,0,0,0
